date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-13,microg/m3,24,PM10,CONTE2,FDCOT2,14.68695652173913,1.0,20.2
2024-06-14,microg/m3,24,PM10,CONTE2,FDCOT2,15.450000000000003,1.0,22.8
2024-06-15,microg/m3,24,PM10,CONTE2,FDCOT2,12.945833333333333,1.0,18.5
2024-06-16,microg/m3,24,PM10,CONTE2,FDCOT2,13.637499999999998,1.0,25.9
2024-06-17,microg/m3,24,PM10,CONTE2,FDCOT2,15.133333333333335,1.0,21.9
2024-06-18,microg/m3,24,PM10,CONTE2,FDCOT2,,0.4166666666666667,
2024-06-13,microg/m3,N1,PM10FNV,CONTE2,FSCOT2,12.073913043478266,1.0,17.7
2024-06-14,microg/m3,N1,PM10FNV,CONTE2,FSCOT2,12.916666666666666,1.0,22.5
2024-06-15,microg/m3,N1,PM10FNV,CONTE2,FSCOT2,9.004166666666666,1.0,12.9
2024-06-16,microg/m3,N1,PM10FNV,CONTE2,FSCOT2,10.700000000000001,1.0,22.8
2024-06-17,microg/m3,N1,PM10FNV,CONTE2,FSCOT2,12.808333333333335,1.0,22.3
2024-06-18,microg/m3,N1,PM10FNV,CONTE2,FSCOT2,,0.4166666666666667,
2024-06-13,microg/m3,F1,PM10FV,CONTE2,FVCOT2,-2.6043478260869573,1.0,0.8
2024-06-14,microg/m3,F1,PM10FV,CONTE2,FVCOT2,-2.5583333333333336,1.0,0.0
2024-06-15,microg/m3,F1,PM10FV,CONTE2,FVCOT2,-3.9458333333333333,1.0,0.5
2024-06-16,microg/m3,F1,PM10FV,CONTE2,FVCOT2,-2.941666666666667,1.0,0.0
2024-06-17,microg/m3,F1,PM10FV,CONTE2,FVCOT2,-2.3125,1.0,0.5
2024-06-18,microg/m3,F1,PM10FV,CONTE2,FVCOT2,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,BRIGNO,PCBRIG,11.217391304347826,1.0,16.4
2024-06-14,microg/m3,24,PM10,BRIGNO,PCBRIG,13.620833333333337,1.0,24.2
2024-06-15,microg/m3,24,PM10,BRIGNO,PCBRIG,12.100000000000001,1.0,22.4
2024-06-16,microg/m3,24,PM10,BRIGNO,PCBRIG,7.737500000000001,1.0,19.4
2024-06-17,microg/m3,24,PM10,BRIGNO,PCBRIG,12.866666666666665,1.0,20.4
2024-06-18,microg/m3,24,PM10,BRIGNO,PCBRIG,,0.375,
2024-06-13,microg/m3,03,NO2,MAGNAN,N2MAGNAN,22.130434782608692,1.0,37.9
2024-06-14,microg/m3,03,NO2,MAGNAN,N2MAGNAN,20.279166666666665,1.0,40.2
2024-06-15,microg/m3,03,NO2,MAGNAN,N2MAGNAN,17.562500000000004,1.0,28.8
2024-06-16,microg/m3,03,NO2,MAGNAN,N2MAGNAN,6.541666666666667,1.0,15.1
2024-06-17,microg/m3,03,NO2,MAGNAN,N2MAGNAN,16.291666666666664,1.0,34.1
2024-06-18,microg/m3,03,NO2,MAGNAN,N2MAGNAN,,0.4166666666666667,
2024-06-13,microg/m3,02,NO,MAGNAN,NOMAGNAN,9.68695652173913,1.0,23.7
2024-06-14,microg/m3,02,NO,MAGNAN,NOMAGNAN,7.929166666666667,1.0,25.1
2024-06-15,microg/m3,02,NO,MAGNAN,NOMAGNAN,7.7416666666666645,1.0,16.5
2024-06-16,microg/m3,02,NO,MAGNAN,NOMAGNAN,0.7625000000000001,1.0,3.4
2024-06-17,microg/m3,02,NO,MAGNAN,NOMAGNAN,8.4625,1.0,17.8
2024-06-18,microg/m3,02,NO,MAGNAN,NOMAGNAN,,0.4166666666666667,
2024-06-13,microg/m3,12,NOX,MAGNAN,NXMAGNAN,36.95217391304348,1.0,68.4
2024-06-14,microg/m3,12,NOX,MAGNAN,NXMAGNAN,32.425,1.0,78.1
2024-06-15,microg/m3,12,NOX,MAGNAN,NXMAGNAN,29.429166666666664,1.0,54.0
2024-06-16,microg/m3,12,NOX,MAGNAN,NXMAGNAN,7.699999999999999,1.0,18.1
2024-06-17,microg/m3,12,NOX,MAGNAN,NXMAGNAN,29.21666666666667,1.0,61.3
2024-06-18,microg/m3,12,NOX,MAGNAN,NXMAGNAN,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,MAGNAN,PCMAGNAN,23.217391304347824,1.0,37.5
2024-06-14,microg/m3,24,PM10,MAGNAN,PCMAGNAN,23.71666666666667,1.0,44.6
2024-06-15,microg/m3,24,PM10,MAGNAN,PCMAGNAN,22.575,1.0,42.0
2024-06-16,microg/m3,24,PM10,MAGNAN,PCMAGNAN,16.087499999999995,1.0,25.3
2024-06-17,microg/m3,24,PM10,MAGNAN,PCMAGNAN,17.599999999999998,1.0,27.8
2024-06-18,microg/m3,24,PM10,MAGNAN,PCMAGNAN,,0.4166666666666667,
2024-06-13,degre,54,TC,MAGNAN,TsMAGNAN,21.96086956521739,1.0,23.2
2024-06-14,degre,54,TC,MAGNAN,TsMAGNAN,21.941666666666663,1.0,23.0
2024-06-15,degre,54,TC,MAGNAN,TsMAGNAN,22.00833333333333,1.0,23.1
2024-06-16,degre,54,TC,MAGNAN,TsMAGNAN,21.9375,1.0,23.1
2024-06-17,degre,54,TC,MAGNAN,TsMAGNAN,22.008333333333336,1.0,23.0
2024-06-18,degre,54,TC,MAGNAN,TsMAGNAN,,0.4166666666666667,
2024-06-13,microg/m3,03,NO2,ARSON,N2ARSON,14.643478260869566,1.0,37.7
2024-06-14,microg/m3,03,NO2,ARSON,N2ARSON,22.979166666666657,1.0,42.8
