date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-13,ng/m3,97,Hg_gaz,MLVR,HgMLVR,3.3130434782608695,1.0,10.0
2024-06-14,ng/m3,97,Hg_gaz,MLVR,HgMLVR,2.3375,1.0,2.6
2024-06-15,ng/m3,97,Hg_gaz,MLVR,HgMLVR,2.566666666666667,1.0,5.0
2024-06-16,ng/m3,97,Hg_gaz,MLVR,HgMLVR,4.054166666666667,1.0,9.9
2024-06-17,ng/m3,97,Hg_gaz,MLVR,HgMLVR,2.3875,1.0,3.3
2024-06-18,ng/m3,97,Hg_gaz,MLVR,HgMLVR,,0.4166666666666667,
2024-06-13,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,1.395217391304348,1.0,11.44
2024-06-14,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,0.41285714285714287,0.875,2.03
2024-06-15,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,0.7004166666666666,1.0,3.05
2024-06-16,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,1.1537500000000003,1.0,2.86
2024-06-17,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,0.8095833333333333,1.0,2.61
2024-06-18,microg/m3,MT,MT,PENHUV,CoupeC4_PENH,,0.4166666666666667,
2024-06-13,microg/m3,H8,C2H2Cl2,MLVR,C2H2Cl2MLVR,,0.0,
2024-06-14,microg/m3,H8,C2H2Cl2,MLVR,C2H2Cl2MLVR,,0.0,
2024-06-15,microg/m3,H8,C2H2Cl2,MLVR,C2H2Cl2MLVR,,0.0,
2024-06-16,microg/m3,H8,C2H2Cl2,MLVR,C2H2Cl2MLVR,,0.0,
2024-06-17,microg/m3,H8,C2H2Cl2,MLVR,C2H2Cl2MLVR,,0.0,
2024-06-18,microg/m3,H8,C2H2Cl2,MLVR,C2H2Cl2MLVR,,0.0,
2024-06-13,microg/m3,H8,C2H2Cl2,PENHUV,C2H2CI2_PENH,0.0,1.0,0.0
2024-06-14,microg/m3,H8,C2H2Cl2,PENHUV,C2H2CI2_PENH,0.0,0.875,0.0
2024-06-15,microg/m3,H8,C2H2Cl2,PENHUV,C2H2CI2_PENH,0.0,1.0,0.0
2024-06-16,microg/m3,H8,C2H2Cl2,PENHUV,C2H2CI2_PENH,0.0,1.0,0.0
2024-06-17,microg/m3,H8,C2H2Cl2,PENHUV,C2H2CI2_PENH,0.0,1.0,0.0
2024-06-18,microg/m3,H8,C2H2Cl2,PENHUV,C2H2CI2_PENH,,0.4166666666666667,
2024-06-13,degre,52,DV,BETG,DVBETG,283.9130434782609,1.0,359.0
2024-06-14,degre,52,DV,BETG,DVBETG,142.5,1.0,169.0
2024-06-15,degre,52,DV,BETG,DVBETG,244.58333333333334,1.0,360.0
2024-06-16,degre,52,DV,BETG,DVBETG,236.33333333333334,1.0,353.0
2024-06-17,degre,52,DV,BETG,DVBETG,134.66666666666666,1.0,350.0
2024-06-18,degre,52,DV,BETG,DVBETG,,0.4166666666666667,
2024-06-13,m/s,51,VV,BETG,VVBETG,1.9826086956521742,1.0,3.5
2024-06-14,m/s,51,VV,BETG,VVBETG,1.6333333333333335,1.0,2.5
2024-06-15,m/s,51,VV,BETG,VVBETG,1.5625,1.0,3.0
2024-06-16,m/s,51,VV,BETG,VVBETG,0.8416666666666668,1.0,1.8
2024-06-17,m/s,51,VV,BETG,VVBETG,1.0958333333333332,1.0,2.5
2024-06-18,m/s,51,VV,BETG,VVBETG,,0.4166666666666667,
2024-06-13,degreC,54,TC,BETG,TCBETG,19.87391304347826,1.0,24.4
2024-06-14,degreC,54,TC,BETG,TCBETG,21.195833333333336,1.0,23.2
