,id,labelSite,dept_code
0,MAGNAN,PROMENADE DES ANGLAI,06
1,ARSON,NICE ARSON,06
2,CHEIRON,Massif du Cheiron,06
3,ESTEREL,FREJUS/SAINT RAPHAEL,83
4,NCA,NCA_Port_QuaiCommerc,06
5,AEROPO,AEROPORT NICE,06
6,BOTANI,NICE OUEST BOTANIQUE,06
7,BRIGNO,BRIGNOLES,83
8,CANNES,CANNES BROUSSAILLES,06
9,CIANS,CIANS,06
10,CONTE2,CONTES 2,06
11,MOULIN,ANTIBES JEAN MOULIN,06
12,PEILLO,PEILLON,06
